"organization_name","department_name","faculties"
"Griffith University","Centre for Sustainability Management","sowi"
"Peoples' Friendship University of Russia","Institute for Hematopathology","med"
"Princeton University","Carnegie Mellon University - Center for Integrated Study of the Human Dimensions of Global Change","sowi"
"University of Greifswald, Institute of Slavic Studies","Slavic Studies","phil"
"Universität Hamburg","German Climate Computing Center and University of Hamburg","mint"
"Princeton University","Institute for Peace Research and Security Policy at the University of Hamburg","sowi"
"City University of Hong Kong","Institute for Coastal Research","mint"
"Institute of Law","University of California","jura"
"Universität Bremen","Assistant Professor Kathmandu University School of Education Nepal","phil"
"Forschungszentrum Energiespeichertechnologien","Energy Research Center of Lower Saxony (EFZN)","tech"
"Hellenic American University","HUN-REN Hungarian Research Centre for Linguistics","phil"
"Universität Hamburg","Centre for Interdisciplinary Addiction Research of Hamburg University","med"
"Sichuan University","Energy Research Center of Lower Saxony (EFZN)","tech"
"Universität Hamburg","University of Hamburg - Department for Japanese Studies","phil"
"Pacific International Center for High Technology Research","International Pacific Research Center","sowi"
"University of Saskatchewan","Institute of Space and Atmospheric Studies","mint"
"Norwegian University of Science and Technology","Center for Advanced Studies in Arid Zones (CEAZA)","mint"
"University of Leicester","School of Geography","sowi"
"University of Nairobi","Department of African and Ethiopian Studies","phil"
"University of Central Asia","Grassland and Fodder Science","agrar"
"Universität Hamburg","Carnegie Mellon University - Center for Integrated Study of the Human Dimensions of Global Change","sowi"
"Universität Hamburg","Centre for Bioinformatics","med"
"Universität Hamburg","Centre for Biomolecular Interactions","mint"
"German Climate Computing Centre","German Climate Computing Center and University of Hamburg","mint"
"Universität Hamburg","Centre for Wood Science","mint"
"Universität Hamburg","Institute of Wastewater Management and Water Protection","agrar"
"HafenCity University Hamburg","Resource Efficiency in Architecture and Planning","tech"
"HafenCity University Hamburg","Resource Efficiency in Architecture and Planning (REAP)","tech"
"Universität Hamburg","Neuronal Patterning and Connectivity","mint"
"Universität Hamburg","Hamburg School of Food Science","agrar"
"Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application","School of Geography","sowi"
"Hamburg University of Music and Drama","Institute of Musicology University of Hamburg Neue Rabenstr. 13","phil"
"Universität Hamburg","Endokrinologie und Diabetologie","med"
"Russian New University","Institute for Hematopathology","med"
"Universität Hamburg","Institute for Human Resource Management","sowi"
"Universität Hamburg","Institute for Human Resource Management and Organizations","sowi"
"University of Central Asia","Grassland and Fodder Sciences","agrar"
"Nanjing Normal University","School of Geography","sowi"
"Institute of Bioinformatics","University of Greifswald -","tech"
"Huazhong University of Science and Technology",NA,"tech"
"Hokkaido University","COE Neo-Science of Natural History","mint"
"Hamburg University of Music and Drama","Institut of Systematic Musicology","phil"
"Foundation for Research and Technology Hellas","CSTACC","tech"
"Zentrum für Molekulare Neurobiologie Hamburg",NA,"mint"
"Flensburg University of Applied Sciences","University of Applied Sciences","tech"
"Universität Hamburg","Institute for Peace Research and Security Policy at the University of Hamburg","sowi"
"Universität Hamburg","Center for Buddhist Studies","rewi"
"Universität Hamburg","Centre for Interdisciplinary Addiction Research (CIAR)","med"
"Universität Hamburg","Research Institute for Linguistics","phil"
"Wuhan University","Kiel Centre for Globalization","sowi"
"Hamburg University of Music and Drama","Institute of Systematic Musicology","phil"
"Leuphana Universität Lüneburg","Institute of Sustainability Governance (INSUGO)","sowi"
"HAW Hamburg","Hochschule für Angewandte Wissenschaften","tech"
"Universität Hamburg","Korean Studies Department","phil"
"CAU Kiel","Biochemisches Institut","mint"
"HAW Hamburg","Key Laboratory of Geographic Information Science of Ministry of Education","sowi"
"Senckenberg am Meer","Leibniz-Institut für Ostseeforschung Warnemünde","mint"
"Universität Hamburg","Inst. of Musicology","phil"
"German Institute for Global and Area Studies","Adjunct Professor at the University of Hamburg","phil"
"East China Normal University","Center for Geopolitical and Strategic Studies and Institute for Global Innovation and Development","sowi"
"University of Göttingen","Chair Group of Forest and Nature Conservation Policy","mint"
"Institute of Law","Erasmus University Rotterdam (EUR) - Rotterdam","jura"
"University of Electronic Science and Technology of China",NA,"tech"
"University of Oslo","Meteorology and Oceanography Section","mint"
"Hungarian Research Centre for Linguistics","Research Institute for Linguistics","phil"
"Europa-Universität Flensburg","Strategic and International Management","sowi"
"Nanyang Technological University","Asian School of the Environment","mint"
"Macquarie University","Discipline of Geography and Planning","sowi"
"University College London","Annu Aggarwal and Susanne A. Schneider contributed equally and are shared first authors for this article.","mint"
"Institute for Peace Research and Security Policy","at the University of Hamburg","sowi"
"Universität Rostock","Faculty of Law and Interdisciplinary Faculty","jura"
"HEC Montréal","Department of Management","sowi"
"CAU Kiel","Institute for Security Policy at","sowi"
"Leuphana Universität Lüneburg","Centre for Sustainability Management#R##N#Leuphana University of Lueneburg","sowi"
"Universität Hamburg","Elasmo-Lab","mint"
"Universität Hamburg","Department of African and Ethiopian Studies","phil"
"DLR Institut für Vernetzte Energiesysteme","Energiesystemanalyse","mint"
"Universität Hamburg","University of Hamburg - Institute of Law and Economics","sowi"
"Universität Hamburg","Department of Strategic Management","sowi"
"Universität Hamburg","Gene Center","med"
"Universität Hamburg","Research Unit for Evolutionary Immunogenomics","med"
"University of South Australia","Centre for Accounting","sowi"
"Universität Hamburg","Oncology","med"
"South China University of Technology","Division of Microrobotics","tech"
"Public Works Research Institute","Aqua Restoration Research Center","med"
"Zhejiang University","Department of Land Management","sowi"
"Leuphana Universität Lüneburg","Junior Professor of Public Law and European Law","jura"
"Carl von Ossietzky Universität Oldenburg","Department of Sport and Motion","sowi"
"Universität Hamburg","Auslandseinsätze der Bundeswehr. Sozialwissenschaftliche Analysen","sowi"
"Heinrich Heine University Düsseldorf","Centre for Biomolecular Interactions","med"
"China Meteorological Administration","Laboratory for Climate Studies","mint"
"CAU Kiel","Center for Archaeological Science","phil"
"Universität Bremen","Faculty of Law","jura"
"Universität Hamburg","Erasmus University Rotterdam (EUR) - Rotterdam Institute of Law and Economics","jura"
"Guangzhou University","School of Public Administration & Institute of Rural Revitalization","sowi"
"University of Oxford","School of Geography and Environment","sowi"
"University of Regensburg","Institute of Psychology","med"
"The American College of Greece","Research Institute for Linguistics","phil"
"Universität Hamburg","Neonatal Screening Laboratory","mint"
"Universität Hamburg","Metabolic Laboratory","mint"
"Social Insurance Institution","Department of Civil and Environmental Engineering and Institute of Transportation Studies University of California","tech"
"Universität Hamburg","HUN-REN Hungarian Research Centre for Linguistics Budapest Hungary","phil"
"Universität Hamburg","HUN-REN Hungarian Research Centre for Linguistics","phil"
"Universität Hamburg","Department of Austronesian Studies","phil"
"Lower Saxony Institute for Historical Coastal Research",NA,"mint"
"Universität Hamburg","Department of History","phil"
"HafenCity University Hamburg","REAP research group (Resource Efficiency in Architecture and Planning)","sowi"
"Otto-von-Guericke University Magdeburg","Center for Behavioral Brain Sciences (CBBS)","med"
"Delft University of Technology","Delta Futures Lab","tech"
"Universität Rostock","Helmholtzzentrum","mint"
"Universität Rostock","Urology","med"
"Universität Hamburg","Institute of Environmental Technology and Energy Economics (IUE)","sowi"
"Universität Hamburg","Center for Natural History","mint"
"Institute for Peace Research and Security Policy","IFSH","sowi"
"Universität Hamburg","Center for the Study of Manuscript Cultures","phil"
"Sichuan University","Center for Archaeological Science","phil"
"University of Oslo","Institut für Geowissenschaften and SFB 574","mint"
"Royal Netherlands Institute for Sea Research","NIOZ-","mint"
"CAU Kiel","Department of Gynecology and Obstetrics","med"
"Universität Hamburg","General Psychology","med"
"Institute for Applied Systems Technology Bremen","Department C-Business in Enterprise Networks","sowi"
"Joetsu University of Education","Department of Geoscience","med"
"University of Calgary","Department of Biological Sciences","mint"
"Universität Hamburg","Laboratory for Artificial Intelligence","tech"
"Hokkaido University","Integrated Ocean Drilling Program Management International","mint"
"CAU Kiel","Department of Prosthodontics","med"
"CAU Kiel","Department of Horticulture","mint"
"CAU Kiel","Department of Zoophysiology","mint"
"CAU Kiel","Department of Oceanology","mint"
"CAU Kiel","Department of Anthropology","sowi"
"Universität Hamburg","Organische Chemie","mint"
"Institute for Peace Research and Security Policy","Büro der Generalsekretärin","sowi"
"HAW Hamburg","Media Technology","tech"
"CAU Kiel","Biochemical  Institute","mint"
"Hanover University of Music Drama and Media","Hanover University of Music","phil"
"University of Vienna","Department for Geodynamics and Sedimentology","mint"
"Europa-Universität Flensburg","Department of Energy and Environmental","tech"
"Hamburg University of Technology","Institute of Environmental Technology and Energy Economics (IUE)","tech"
"CAU Kiel","Department of Ecosystem Management","mint"
"Universität Hamburg","Institute of Musicology University of Hamburg Neue Rabenstr. 13","phil"
"Universität Bremen","Center of Studies of Air quality and Climate Change","mint"
"Fraunhofer Institute for Silicon Technology","ISIT Branch Lab Kiel","tech"
"Universität Hamburg","Department for Cultural Studies","phil"
"Lanzhou University","Center for Arid Environment and Paleoclimate Research","mint"
"Center for Free-Electron Laser Science",NA,"tech"
"Universität Bremen","Research Centre for East European Studies at the","phil"
"Carl von Ossietzky Universität Oldenburg","Department of Informatics Carl von Ossietzky University Oldenburg","tech"
"Universität Hamburg","University of Hamburg / Hungarian Research Centre for Linguistics","phil"
"CAU Kiel","Department of Genetics","med"
"International Institute for Applied Systems Analysis",NA,"mint"
"Carnegie Mellon University","Center for Integrated Study of the Human Dimensions of Global Change","sowi"
"Universität Hamburg","Asian School of the Environment","mint"
"CAU Kiel","History Department","phil"
"for Materials and Coastal Research""",NA,"mint"
"National Taiwan University","Biodiversity Research Centre","mint"
"University of Madras","Department of Applied Geology","mint"
"Leuphana Universität Lüneburg","Institute of Corporate Development","sowi"
"Dharma Drum Institute of Liberal Arts","Center for Buddhist Studies","rewi"
"Center for Integrated Protein Science Munich","Gene Center","med"
"Universität Hamburg","Department","mint"
"National Changhua University of Education","Department of Geography","sowi"
"Carl von Ossietzky Universität Oldenburg","Computer Science","tech"
"Universität Hamburg","Center of Natural History","mint"
"Sichuan University","Clausthal University of Technology (TUC)","tech"
"CAU Kiel","Department of Operative Dentistry and Periodontology","med"
"Hochschule für Angewandte Wissenschaften Hamburg Fakultät Technik und Informatik","Maschinenbau und Produktion","tech"
"Forest Industry Research Institute","CIFOR Jl. CIFOR","tech"
"Industrial Technology Research Institute","Green Energy and Environment Research Laboratories","mint"
"Universität Hamburg","Arbeitsgruppe Trauma- und Stressforschung","med"
"Hungarian Research Centre for Linguistics","HUN-REN","phil"
"Carl von Ossietzky Universität Oldenburg","Department of Paediatrics","med"
"Vietnam National University of Agriculture","CIFOR Jl. CIFOR","agrar"
"Universität Bremen","Research Centre for East European Studies","phil"
"Federal Office for Food and Agriculture","Department 522","agrar"
"Universität Hamburg","Laboratory for Climate Studies","mint"
"Universität Bremen","Cognitive Systems","mint"
"Forschungszentrum Energiespeichertechnologien","Energy Research Centre of Lower Saxony","mint"
"Universität Hamburg","Center for Behavioral Brain Sciences (CBBS)","med"
"University of Bonn","Department of Ecology and Natural Resources Management","mint"
"Universität Greifswald","University of Greifswald - Institute of Bioinformatics","mint"
"Universität Bremen","Centre for Biomolecular Interactions","mint"
"Leibniz-Institut für Virologie",NA,"med"
"Hamburg University of Technology","Institute of Wastewater Management and Water Protection","agrar"
"Ghent University","Department of Geography","sowi"
"Manchester Metropolitan University","Key Laboratory of Geographic Information Science of Ministry of Education","sowi"
"Universität Greifswald","Historical Institute","phil"
"Universität Hamburg","Department of Developmental Biology University of Hamburg Hamburg Germany","mint"
"Universität Greifswald","Department of Land Management","sowi"
"Universität Hamburg","Department for Endocrinology and Diabetology","med"
"Institute of Tibetan Plateau Research","Laboratory for Climate Studies","mint"
"Carl von Ossietzky Universität Oldenburg","Department Ageing of Individuals and Society","sowi"
"Biodiversity Research Center, Academia Sinica","Biodiversity Research Centre","mint"
"Hochschule Bremen","Bionik","mint"
"Hochschule Bremen","B-I-C","mint"
"Universität Hamburg","Zoologisches Museum Hamburg","mint"
"Chinese Academy of Sciences","Laboratory for Climate Studies","mint"
"Universität Bremen","Center for Biomolecular Interactions","mint"
"University of Crete","Center of Studies of Air quality and Climate Change","sowi"
"Hamburg University of Technology","Institute for Human Resource Management and Organizations","tech"
"Deutsches Forschungszentrum für Künstliche Intelligenz GmbH","Robotics Innovation Center","tech"
"Institute for Peace Research and Security Policy","Researcher at the","sowi"
"Carl von Ossietzky Universität Oldenburg","University of Oldenburg - Economic Theory","sowi"
"Universität Bremen","Eduational Science","phil"
"CAU Kiel","Law School","jura"
"Carl von Ossietzky Universität Oldenburg","Center for Oceanic Research and Education (CORE sea)","mint"
"Erasmus University Rotterdam","EUR) - Rotterdam Institute of Law and Economics","jura"
"Heidelberg University","Dep. of Mathematics TU Clausthal Erzstraße 1 38678 Clausthal‐Zellerfeld Germany","mint"
"Universität Hamburg","Microbiology & Biotechnology","mint"
"Universität Hamburg","Center of Natural History (CeNak)","mint"
"Economic Research Service","Department of Civil and Environmental Engineering and Institute of Transportation Studies University of California","tech"
"Hamburg University of Technology","Institut für Umwelttechnik und Energiewirtschaft","tech"
"University of Edinburgh","Institute of Evolutionary Biology","mint"
"University of Peradeniya","Department of Geology","mint"
"Stanford University","Center for Conservation Biology","mint"
"Zhejiang Normal University","Department of African and Ethiopian Studies","phil"
"Universiti Sains Malaysia","School of Communication","tech"
"University of Crete","Environmental Chemical Processes Laboratory","mint"
"Ho Chi Minh City University of Science","Department of Oceanology","med"
"China Pharmaceutical University","Neurobiology Laboratory","mint"
"Swedish University of Agricultural Sciences","Department of Aquatic Sciences and Assessment","mint"
"Universität Hamburg","Biodiversity","mint"
"Ho Chi Minh City University of Science","Departament of Oceanography","mint"
"Universität Hamburg","Neuronal Translational Control Group","mint"
"Leuphana Universität Lüneburg","Institute for Environmental and Sustainability Communication (INFU)","mint"
"Max Planck Institute for Comparative and International Private Law","Associate Member","jura"
"CAU Kiel","Burns Injury Research Unit","med"
"Sichuan University","Energy Research Centre of Lower Saxony","tech"
"Universität Hamburg","Fac. Economics (dean)","sowi"
"Center for Neuroscience and Cognitive Systems","Istituto Italiano di Tecnologia (IIT)","med"
"CAU Kiel","Department of Aquatic Science","mint"
"Carl von Ossietzky Universität Oldenburg","Institut für Philosophie","phil"
"University of Guelph","Department of Agricultural Extension Education","agrar"
"Staats- und Universitätsbibliothek Bremen","Computing Center","tech"
"Erasmus University Rotterdam","University of Hamburg - Institute of Law and Economics","jura"
"CAU Kiel","Department of Agricultural Policy and Market Research","agrar"
"Helmut-Schmidt-Universität / UdB Hamburg","Fakultät für Geistes- und Sozialwissenschaften","phil"
"Technical University of Darmstadt","Institut für Angewandte Geowissenschaften","mint"
"CAU Kiel","Universität Kiel (ISPK) Institut für Sicherheitspolitik Kiel Deutschland","sowi"
"University of Aberdeen","Department of Geology and Petroleum Geology","tech"
"Stockholm University","Dept. of Meteorology","mint"
"Guangzhou University","Public Administration School","sowi"
"Klinikum Lüneburg","Pathology","med"
"The University of Western Australia","Burns Injury Research Unit","med"
"Universität Hamburg","Laboratory for Research and Diagnostics","mint"
"CAU Kiel","Department for Dermatology","med"
"Dalhousie University","Department of Civil and Environmental Engineering and Institute of Transportation Studies University of California","tech"
"Åbo Akademi University","Department of Civil and Environmental Engineering and Institute of Transportation Studies University of California","tech"
"Universität Hamburg","Department of Silviculture","mint"
"Universität Hamburg","Department of Forests","agrar"
"Universität Hamburg","Department of Urology","med"
"Universität Hamburg","Department of Andrology","med"
"Universität Hamburg","Department of Cariology","med"
"Universität Hamburg","Department of Paediatrics","med"
"Hokkaido University","Department of Natural History Sciences","mint"
"CAU Kiel","Institute for Pre- and Protohistory","phil"
"Universität Hamburg","Biocentre Klein Flottbek and Botanical Garden","mint"
"Fraunhofer Institute for Manufacturing Technology and Advanced Materials","IFAM","tech"
"Munich Cluster for Systems Neurology","SyNergy)","med"
"University of California, Davis","Department of Civil and Environmental Engineering and Institute of Transportation Studies University of California","tech"
"University of Utah","Department of Civil and Environmental Engineering and Institute of Transportation Studies University of California","tech"
"UNSW Sydney","Climate Change Research Centre University of New South Wales","sowi"
"Max Planck Institute for Comparative and International Private Law","GmbH & Co. KG Postfach 2040 D-72010 Tübingen","jura"
"University of London","Department of Pharmaceutical and Biological Chemistry","med"
"Universität Hamburg","Department of Organizational Psychology","med"
"Universität Hamburg","Department of Cognitive Psychology","med"
"Universität Hamburg","Friends of Nature (FON)","mint"
"Universität Hamburg","Friends of Nature","mint"
"Universität Rostock","Institut für Biowissenschaften – Meeresbiologie","mint"
"East China Normal University","Key Laboratory of Geographic Information Science of Ministry of Education","sowi"
"Universität Bremen","Computing Center","tech"
"University of Michigan","Department of Anthropology","sowi"
"University of Leicester","Department of Genetics","med"
"Universität Hamburg","Mathematisches Seminar der","mint"
"Universität Hamburg","European Doctorate Programe in Law and Economics and Institute of Law and Economics","jura"
"University of Göttingen","Department of Palynology and Climate Dynamics","mint"
"Universität Hamburg","Key Laboratory of Geographic Information Science of Ministry of Education","sowi"
"Carl von Ossietzky Universität Oldenburg","Physics Education","mint"
"Universität Hamburg","Institute for Asian and African Studies","phil"
"British Institute of International and Comparative Law","Associate Member","jura"
"Universität Hamburg","Leibniz Institute for the Analysis of Biodiversity Change (LIB Hamburg)","mint"
"Carl von Ossietzky Universität Oldenburg","Institute of Sport Science","med"
"Universität Hamburg","Neurobiology Laboratory","mint"
"Universität Hamburg","Center for Interdisciplinary Addiction Research (ZIS)","med"
"Hochschule Bremen","Biomimetics-Innovation-Centre (B-I-C)","mint"
"Carl-von-Ossietzky-Universität Oldenburg","Department of Neuroscience","med"
"Carl von Ossietzky Universität Oldenburg","Department of Neuroscience","med"
"University of Cologne","Department of Biomedicine","med"
"Krankenhaus Salem","Laboratory of Alcohol Research (HKS)","med"
"Krankenhaus Salem","Laboratory of Alcohol Research","med"
"Indian Institute of Technology Madras","Center for Atmospheric and Climate Sciences","mint"
"CAU Kiel","Professor für Politikwissenschaft und Direktor","sowi"
"Universität Hamburg","Department of Languages and Cultures","phil"
"Carl von Ossietzky Universität Oldenburg","Chemistry Education","mint"
"Hungarian Academy of Sciences","Research Institute for Linguistics","phil"
"Universität Hamburg","Assistant Professor of Global Christianity and Religious Studies","rewi"
"Universität Hamburg","Institute for Journalism and Communication Studies","phil"
"Burapha University","Department of Aquatic Science","mint"
"Universität Hamburg","Leibniz Institute for the Analysis of Biodiversity Change (LIB)","mint"
"University of Oslo","Department of Geosciences","mint"
"University of Malta","Department of Geosciences","mint"
"Tunghai University","Biodiversity Research Centre","mint"
"Louisiana State University","Department of Geology and Geophysics and Coastal Studies Institute","mint"
"Center for International Forestry Research","CIFOR Jl. CIFOR","agrar"
"Center for International Forestry Research","CIFOR)","agrar"
"Institut de Recherche pour le Développement","IRD)","mint"
"Universität Bremen","English-Speaking Cultures","phil"
"Universität Hamburg","Assistant Professor of Religious Studies and Global Christianity","rewi"
"Universität Hamburg","Biocentre Klein Flottbek & Botanical Garden","mint"
"Universität Innsbruck","Department of Atmospheric and Cryospheric Sciences","mint"
"Vietnam Academy of Science and Technology","Helmholtzzentrum","mint"
"University of Chinese Academy of Sciences","Energie-Forschungszentrum Niedersachsen","tech"
"Nanjing University of Information Science and Technology","Key Laboratory of Meteorological Disaster","mint"
"Universität Bremen","Department of Linguistics and Literature","phil"
"Leibniz Institute for the Analysis of Biodiversity Change","LIB Hamburg)","mint"
"Hochschule für Technik und Wirtschaft des Saarlandes","Andrea Strayer","tech"
"Natural History Museum of Basel","Centrum für Naturkunde Universität Hamburg Hamburg Germany","mint"
"Universität Bremen","Chair in Small Business & Entrepreneurship","sowi"
"Universität Bremen","Chair in Small Business & Entrepreneurship (LEMEX)","sowi"
"University of Science and Technology of China","CAS Key Laboratory of Gas Hydrate","mint"
"Center for Behavioral Brain Sciences","CBBS)","med"
"Institut de Biologia Evolutiva","Department of Herpetology Zoologische Staatssammlung München (ZSM‐SNSB)","mint"
"Universität Hamburg","Department of Cardiology","med"
"Muthesius University in Kiel","Institute for the Science of Art, Design and Media","phil"
"University of Haifa","Now at Institute of Geology","mint"
"City University of Hong Kong","Department of Chemistry","mint"
"Carl von Ossietzky Universität Oldenburg","Division of Microrobotics","tech"
"Schmerzklinik Kiel","Department of Geoscience","med"
"Foundation for Research and Technology Hellas","Center of Studies of Air quality and Climate Change","mint"
"Tokai University","Laboratory of Alcohol Research (HKS)","med"
"Tufts University","Laboratory of Alcohol Research (HKS)","med"
"Universität Hamburg","Division of Nephrology and Hypertension","med"
"University of Münster","Institute of Geology and Paleontology","mint"
"University of Münster","Institute of Geology and Palaeontology","mint"
"Universität Hamburg","Department of Biomedicine","med"
"Leibniz University Hannover","Institute of Economic and Cultural Geography","sowi"
"Universität Hamburg","Department of Prosthetic Dentistry","med"
"Universität Bremen","Center for Atmospheric and Climate Sciences","mint"
"German Research Centre for Artificial Intelligence","Faculty of Mathematics and Computer Science","tech"
"Justus-Liebig-Universität Gießen","Department of Agricultural Policy and Market Research","med"
"Fraunhofer Institute for Wind Energy Systems","ForWind","tech"
"Hamburg Institute for Social Research","Department for Cultural Studies","phil"
"Deutsches Diabetes-Zentrum e.V.","Centre for Biomolecular Interactions","mint"
"Universität Hamburg","Fakultät für Wirtschafts- und Sozialwissenschaften","sowi"
"MSH Medical School Hamburg – University of Applied Sciences and Medical University",NA,"med"
"Institute for ImplantTechnology and Biomaterials","IIB e.V.","mint"
"Nanjing University of Information Science and Technology","Collaborative Innovation Center on Forecast and Evaluation of Meteorological Disasters","mint"
"Leibniz Institute for Research on Society and Space",NA,"sowi"
"State Museum of Natural History Karlsruhe",NA,"mint"
"Banaras Hindu University","Department of Geology","mint"
"Universität Hamburg","Pediatric Hematology and Oncology","med"
"Universität Bremen","Institute for Sociology","sowi"
"Yunnan University","Yunnan Institute of Microbiology","mint"
"CAU Kiel","Department of Food Technology","agrar"
"Carl von Ossietzky Universität Oldenburg","Division of Animal Physiology and Behaviour","mint"
"Universität Bremen","Institute for Electrical Drives, Power Electronics and Devices","tech"
"Universität Greifswald","Department of Mathematics and Computer Science","tech"
"Institut für Hämatopathologie Hamburg","Institute for Hematopathology","med"
"Swedish Museum of Natural History","Department of Geoscience","mint"
"CAU Kiel","Cellular and Molecular Biology Research Center","mint"
"Potsdam Institute for Climate Impact Research",NA,"mint"
"Universität Hamburg","Zentrum für Molekulare Neurobiologie","mint"
"Copperbelt University","Department of Zoology and Aquatic Science","mint"
"Universität Rostock","Institute for British and North American Studies","phil"
"Universität Hamburg","Authors’ addresses: 1Biocenter Klein Flottbek and Botanical Garden","mint"
"CAU Kiel","Lehrfach Variationsstatistik","sowi"
"University of Münster","Auslandseinsätze der Bundeswehr. Sozialwissenschaftliche Analysen","sowi"
"Biodiversity Research Center, Academia Sinica","Biodiversity Program","mint"
"Universität Bremen","Sustainability Research Center (artec) /","mint"
"Leipzig University","Center for Interdisciplinary Addiction Research (ZIS)","med"
"Korea Maritime and Ocean University","Department of Ocean Science","mint"
"CAU Kiel","Department of Plant Nutrition","med"
"Universität Greifswald","Historisches Institut","phil"
"Hamburg University of Technology","Institute of Multiphase Flows (IMS)","tech"
"Universität Bremen","English Literature and Culture","phil"
"Universität Bremen","Theretical Computer Science","tech"
"CAU Kiel","Department of Food Economics and Consumption Studies","agrar"
"Norwegian University of Science and Technology","Department of Psychology","med"
"University of Hyderabad","Georgia Tech","tech"
"Cleveland Clinic","Cole Eye Institute","mint"
"Cleveland Eye Clinic","Cole Eye Institute","mint"
"Carl von Ossietzky Universität Oldenburg","Cluster of Excellence Hearing4all and Dept. for Neurosci.","mint"
"Leuphana Universität Lüneburg","Lichtenberg-Professor for Provenance Studies - Institute of Philosophy and Art History","phil"
"Universität Hamburg","Discipline of Geography and Planning","mint"
"International Union for Conservation of Nature","IUCN Species Survival Commission Pigeon and Dove Specialist Group","mint"
"Carl von Ossietzky Universität Oldenburg","Division for Prevention and Rehabilitation Research","mint"
"Museum am Rothenbaum","Center of Natural History","mint"
"German Institute of Development and Sustainability","Georg-August University","mint"
"Universität Hamburg","World Forestry","mint"
"Universität Hamburg","German Institute of Global and Area Studies (GIGA) and University of Hamburg","sowi"
"CAU Kiel","Department of Pharmaceutical and Medicinal Chemistry","med"
"Universität Hamburg","Zoologisches Museum","mint"
"Technische Universität Dresden","Center for Interdisciplinary Addiction Research (ZIS)","mint"
"Zhejiang A & F University","Department of Horticulture","mint"
"Zhejiang University","Department of Horticulture","mint"
"Kanazawa University","Department of Geoscience","mint"
"Harvard University","Department of Urology","med"
"Leipzig University","Department of Cariology","med"
"Georgia State University","Department of Geosciences","mint"
"National Taiwan University","Ocean Center","mint"
"China Meteorological Administration","National Climate Center","mint"
"University and University of Music Lübeck",NA,"med"
"Universität Hamburg","Missionsakademie an der","mint"
"Institute of Geography",NA,"mint"
"Indira Gandhi Institute of Development Research","Department of Civil and Environmental Engineering and Institute of Transportation Studies University of California","tech"
"Carl von Ossietzky Universität Oldenburg","University Library","mint"
"Chinese Academy of Sciences","Graduate University of","mint"
"Leibniz University Hannover","Institute for Economic and Cultural Geography","sowi"
"CAU Kiel","German Institute of Global and Area Studies","sowi"
"Maulana Abul Kalam Azad Institute of Asian Studies","Kiel University and GIGA Institute of Asian Studies","sowi"
"UNSW Sydney","ARC Centre of Excellence for Climate Extremes","mint"
"Hungarian Research Centre for Linguistics","Department of Languages and Cultures","phil"
"German Centre for Integrative Biodiversity Research","iDiv)","mint"
"East China University of Technology","State Key Laboratory of Nuclear Resources and Environment","mint"
"Ludwig-Maximilians-Universität München","Gene Center","mint"
"Bangladesh Agricultural University","Department of Agricultural Extension Education","agrar"
"CAU Kiel","Institut für Theoretische Physik und Astrophysik","mint"
"German Center for Diabetes Research","Centre for Biomolecular Interactions","med"
"Universität Hamburg","Hubei Key Laboratory of Paleontology and Geological Environment Evolution","mint"
"Japan Institute of International Affairs","Giljae-gil","sowi"
"University of Iowa","Department of Anatomy and Cell Biology","med"
"Universität Hamburg","Chair of Marketing and Innovation","mint"
"HafenCity University Hamburg","Department of Building Physics","tech"
"ETH Zurich","KOF Swiss Economic Institute at","sowi"
"CAU Kiel","Institute of Human Nutrition and Food Science","agrar"
"CAU Kiel","Department of Pharmaceutical and Biological Chemistry","med"
"Kyoto University","Department of Applied Mathematics and Physics","mint"
"Centre for European Economic Research","ZEW)","sowi"
"Centre for European Economic Research",NA,"sowi"
"Leuphana Universität Lüneburg","Department of Civil and Environmental Engineering and Institute of Transportation Studies University of California","tech"
"Museum am Rothenbaum","Leibniz Institute for the Analysis of Biodiversity Change (LIB Hamburg)","mint"
"Leibniz Institute for Catalysis","at the University of Rostock","mint"
"Fudan University","Economics Program","sowi"
"Medizinische Hochschule Hannover","Centre for Structural Systems Biology (CSSB)","med"
"Museum am Rothenbaum","Center of Natural History (CeNak)","mint"
"Seoul National University","Economics Program","sowi"
"CAU Kiel","and GIGA Institute of Asian Studies","phil"
"Universität Bremen","China Quyi Artists Association","mint"
"Louisiana State University","Department of Geology and Geophysics","mint"
"Institut für Friedensforschung und Sicherheitspolitik an der Universität Hamburg","Political Science","sowi"
"Indian Institute of Technology Madras","Centre for Atmospheric and Climate Sciences","mint"
"Medizinische Hochschule Hannover","Cluster of Excellence RESIST (EXC 2155)","med"
"Friedrich Schiller University Jena","German Centre for Integrative Biodiversity Research (iDiv)","mint"
"Leuphana Universität Lüneburg","Faculty of Sustainability, Institue of Ecology","mint"
"National Taiwan Ocean University","Ocean Center","mint"
"Nanjing Normal University","Department of English and American Studies","phil"
"Universität Hamburg","American Society for Engineering Education","tech"
"Institut de Biologie Moléculaire des Plantes","Department of Developmental Biology","mint"
"Universität Bremen","Faculty of Mathematics and Computer Science","tech"
"East China Normal University","School of Urban and Regional Sciences","sowi"
"Universität Bremen","Institute of Geology and Paleontology University of Münster","mint"
"ZBW – Leibniz-Informationszentrum Wirtschaft","Leibniz Information Center for Economics and Kiel University","sowi"
"Chinese Academy of Sciences","Department of Wood Science","mint"
